ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MANTENIMIENTO_ID,NIVEL_ESCALAMIENTO,TIEMPO_RESOLUCION
702,vandalismo,2024-08-27T00:00:00.000000Z,cerrada,['624-10-2783'],['mnt-05649'],bajo,147
703,mal funcionamiento,2024-04-24T00:00:00.000000Z,cerrada,['571-19-8866'],['mnt-06944'],alto,153
704,mal funcionamiento,2024-04-04T00:00:00.000000Z,cerrada,"['852-25-5269', '365-57-6170']",['mnt-00244'],alto,52
705,mal funcionamiento,2023-11-08T00:00:00.000000Z,cerrada,"['811-98-6189', '048-92-2789']","['mnt-10020', 'mnt-10360']",alto,244
706,desgaste,2024-06-04T00:00:00.000000Z,abierta,['572-49-0987'],['mnt-01329'],muy alto,706-ESTADO-abierta
707,desgaste,2024-05-08T00:00:00.000000Z,cerrada,"['018-56-4163', '379-67-1793', '656-89-4433']",['mnt-10577'],muy alto,213
708,rotura,2024-06-25T00:00:00.000000Z,abierta,"['053-48-0670', '872-93-7525']",['mnt-14515'],medio,708-ESTADO-abierta
709,mal funcionamiento,2024-08-07T00:00:00.000000Z,abierta,['762-50-3716'],['mnt-02736'],alto,709-ESTADO-abierta
710,rotura,2024-06-10T00:00:00.000000Z,abierta,['466-56-3106'],"['mnt-02190', 'mnt-09262']",medio,710-ESTADO-abierta
711,vandalismo,2023-11-15T00:00:00.000000Z,cerrada,"['699-67-7414', '145-86-1957', '502-02-6662']",['mnt-10241'],bajo,22
712,mal funcionamiento,2024-03-10T00:00:00.000000Z,abierta,"['374-20-4633', '906-78-1461']",['mnt-13485'],alto,712-ESTADO-abierta
713,mal funcionamiento,2024-08-05T00:00:00.000000Z,cerrada,['330-89-2635'],"['mnt-06880', 'mnt-13592']",alto,100
714,vandalismo,2024-05-05T00:00:00.000000Z,cerrada,['374-21-7730'],['mnt-07607'],bajo,2
715,rotura,2024-03-20T00:00:00.000000Z,abierta,"['705-91-9110', '746-32-6323', '038-77-9493']",['mnt-01874'],medio,715-ESTADO-abierta
716,rotura,2024-05-20T00:00:00.000000Z,abierta,"['720-82-6463', '235-37-3676', '907-13-6990']","['mnt-08623', 'mnt-12475']",medio,716-ESTADO-abierta
717,rotura,2023-12-26T00:00:00.000000Z,abierta,"['361-35-1201', '364-04-4256', '335-46-6509']","['mnt-10403', 'mnt-12110']",medio,717-ESTADO-abierta
718,mal funcionamiento,2024-02-11T00:00:00.000000Z,abierta,"['169-85-6984', '669-64-2149', '868-63-8485']",['mnt-08925'],alto,718-ESTADO-abierta
719,mal funcionamiento,2023-10-25T00:00:00.000000Z,abierta,"['226-27-5299', '609-89-2303', '419-09-9378']",['mnt-04136'],alto,719-ESTADO-abierta
720,vandalismo,2024-03-13T00:00:00.000000Z,cerrada,['637-37-8218'],['mnt-07886'],bajo,68
721,rotura,2024-06-18T00:00:00.000000Z,cerrada,['642-31-1706'],['mnt-01163'],medio,1
722,vandalismo,2024-01-27T00:00:00.000000Z,cerrada,"['151-30-3233', '772-06-3259', '177-14-4863']",['mnt-05406'],bajo,83
723,vandalismo,2024-01-20T00:00:00.000000Z,cerrada,['210-14-4544'],['mnt-00692'],bajo,34
724,mal funcionamiento,2024-08-06T00:00:00.000000Z,cerrada,"['034-53-8124', '101-90-3659']",['mnt-04821'],alto,10
725,rotura,2024-07-17T00:00:00.000000Z,cerrada,['735-62-8235'],"['mnt-00975', 'mnt-07656']",medio,40
726,vandalismo,2024-02-21T00:00:00.000000Z,abierta,['749-71-9266'],['mnt-06870'],bajo,726-ESTADO-abierta
727,rotura,2024-07-18T00:00:00.000000Z,abierta,"['550-05-2063', '241-50-7392', '096-92-5415']",['mnt-08818'],medio,727-ESTADO-abierta
728,desgaste,2024-02-20T00:00:00.000000Z,cerrada,"['796-07-0091', '799-72-4000']",['mnt-00835'],muy alto,122
729,vandalismo,2024-07-17T00:00:00.000000Z,abierta,"['287-65-7294', '924-93-3841']",['mnt-06707'],bajo,729-ESTADO-abierta
730,desgaste,2024-09-23T00:00:00.000000Z,cerrada,"['102-53-8892', '588-75-7546', '309-56-5382']","['mnt-03510', 'mnt-10599']",muy alto,89
731,vandalismo,2024-05-10T00:00:00.000000Z,cerrada,"['221-92-9359', '302-57-0729']",['mnt-00582'],bajo,208
732,rotura,2023-10-30T00:00:00.000000Z,cerrada,['668-23-2879'],['mnt-04894'],medio,19
733,desgaste,2024-09-29T00:00:00.000000Z,abierta,"['635-27-5434', '086-38-6795']",['mnt-02799'],muy alto,733-ESTADO-abierta
734,mal funcionamiento,2024-03-03T00:00:00.000000Z,abierta,"['856-82-9520', '872-22-1345']",['mnt-00613'],alto,734-ESTADO-abierta
735,mal funcionamiento,2024-07-11T00:00:00.000000Z,cerrada,['422-00-3504'],['mnt-10745'],alto,72
736,vandalismo,2024-02-19T00:00:00.000000Z,abierta,"['576-11-0542', '833-24-6175']","['mnt-09204', 'mnt-12276']",bajo,736-ESTADO-abierta
737,vandalismo,2024-08-13T00:00:00.000000Z,cerrada,"['665-71-6123', '401-24-6402']",['mnt-13537'],bajo,145
738,vandalismo,2023-01-11T00:00:00.000000Z,cerrada,"['841-60-4925', '589-79-4138', '160-52-9831']",['mnt-00738'],bajo,691
739,vandalismo,2024-04-26T00:00:00.000000Z,cerrada,"['454-42-5664', '402-88-9226']",['mnt-05188'],bajo,83
740,desgaste,2024-09-23T00:00:00.000000Z,cerrada,['551-21-5340'],"['mnt-02323', 'mnt-09329', 'mnt-10517']",muy alto,10
741,rotura,2024-04-21T00:00:00.000000Z,cerrada,"['043-04-7636', '541-59-4325', '680-73-1573']",['mnt-00613'],medio,53
742,desgaste,2024-06-04T00:00:00.000000Z,cerrada,['757-10-2700'],['mnt-00648'],muy alto,109
743,vandalismo,2024-07-16T00:00:00.000000Z,cerrada,"['109-74-0696', '080-21-7612']",['mnt-12157'],bajo,22
744,desgaste,2024-04-29T00:00:00.000000Z,abierta,['508-30-3365'],"['mnt-05897', 'mnt-09792']",muy alto,744-ESTADO-abierta
745,desgaste,2024-07-30T00:00:00.000000Z,abierta,"['664-80-3142', '538-42-5190']",['mnt-08830'],muy alto,745-ESTADO-abierta
746,mal funcionamiento,2024-01-01T00:00:00.000000Z,abierta,"['275-14-1827', '476-44-2850', '109-06-6721']","['mnt-00710', 'mnt-07639']",alto,746-ESTADO-abierta
747,desgaste,2024-06-19T00:00:00.000000Z,cerrada,['331-59-6914'],['mnt-14444'],muy alto,85
748,rotura,2024-04-13T00:00:00.000000Z,abierta,"['051-03-1650', '406-73-7351']",['mnt-09652'],medio,748-ESTADO-abierta
749,rotura,2024-09-04T00:00:00.000000Z,abierta,"['109-43-0402', '006-74-1764', '107-82-6500']",['mnt-07885'],medio,749-ESTADO-abierta
750,mal funcionamiento,2024-03-18T00:00:00.000000Z,cerrada,"['611-28-6401', '322-13-6148', '738-45-6412']",['mnt-05369'],alto,79
751,rotura,2024-03-20T00:00:00.000000Z,cerrada,['689-57-1552'],['mnt-13188'],medio,102
752,mal funcionamiento,2024-01-15T00:00:00.000000Z,cerrada,"['901-61-2978', '771-26-1468', '944-74-3541']","['mnt-11983', 'mnt-13107']",alto,188
753,mal funcionamiento,2024-04-24T00:00:00.000000Z,abierta,"['395-72-5199', '039-99-5680', '574-62-4528']","['mnt-00151', 'mnt-14193']",alto,753-ESTADO-abierta
754,rotura,2024-03-01T00:00:00.000000Z,abierta,"['255-73-5940', '800-24-3767', '687-27-0788']",['mnt-10630'],medio,754-ESTADO-abierta
755,rotura,2024-01-13T00:00:00.000000Z,abierta,"['599-62-2214', '752-30-0883']",['mnt-13328'],medio,755-ESTADO-abierta
756,mal funcionamiento,2023-11-22T00:00:00.000000Z,cerrada,"['521-83-8008', '797-93-4380']",['mnt-11893'],alto,178
757,vandalismo,2024-08-14T00:00:00.000000Z,abierta,"['758-54-2884', '637-12-2701', '295-12-7763']","['mnt-06850', 'mnt-12858']",bajo,757-ESTADO-abierta
758,mal funcionamiento,2024-04-09T00:00:00.000000Z,cerrada,"['173-06-9446', '927-01-8111', '922-29-3220']",['mnt-05572'],alto,119
759,mal funcionamiento,2024-04-04T00:00:00.000000Z,cerrada,"['073-06-1464', '454-62-3358', '302-69-9916']",['mnt-01646'],alto,25
760,vandalismo,2023-12-10T00:00:00.000000Z,abierta,"['928-70-7027', '064-21-4027']",['mnt-10283'],bajo,760-ESTADO-abierta
761,rotura,2023-12-18T00:00:00.000000Z,abierta,['439-24-5309'],"['mnt-06208', 'mnt-07145', 'mnt-08397', 'mnt-10167']",medio,761-ESTADO-abierta
762,vandalismo,2024-01-07T00:00:00.000000Z,cerrada,"['652-32-0069', '259-45-8735', '332-38-3010']",['mnt-10404'],bajo,217
763,desgaste,2024-01-10T00:00:00.000000Z,cerrada,"['687-01-4525', '941-99-6302']",['mnt-02123'],muy alto,211
764,mal funcionamiento,2023-10-31T00:00:00.000000Z,abierta,"['359-91-7006', '590-15-8530', '395-99-3687']",['mnt-10644'],alto,764-ESTADO-abierta
765,mal funcionamiento,2024-10-07T00:00:00.000000Z,abierta,"['667-24-7592', '299-29-8800', '081-56-9870']",['mnt-10967'],alto,765-ESTADO-abierta
766,mal funcionamiento,2024-01-07T00:00:00.000000Z,abierta,"['979-98-5710', '262-47-4966']","['mnt-07462', 'mnt-13892']",alto,766-ESTADO-abierta
767,mal funcionamiento,2024-03-20T00:00:00.000000Z,cerrada,"['363-18-2975', '187-77-4903', '840-18-5286']",['mnt-12959'],alto,54
768,mal funcionamiento,2024-01-18T00:00:00.000000Z,cerrada,"['640-37-8502', '609-24-1352']",['mnt-10514'],alto,11
769,mal funcionamiento,2024-06-20T00:00:00.000000Z,abierta,"['948-77-3881', '241-56-4782', '232-44-7843']",['mnt-08482'],alto,769-ESTADO-abierta
770,desgaste,2024-07-18T00:00:00.000000Z,abierta,['098-80-4542'],['mnt-12719'],muy alto,770-ESTADO-abierta
771,vandalismo,2024-05-09T00:00:00.000000Z,cerrada,['612-36-6134'],['mnt-01883'],bajo,135
772,vandalismo,2023-11-14T00:00:00.000000Z,cerrada,['100-17-6965'],['mnt-12073'],bajo,36
773,vandalismo,2024-09-02T00:00:00.000000Z,cerrada,"['493-49-6034', '264-91-4570']",['mnt-05826'],bajo,160
774,rotura,2024-05-07T00:00:00.000000Z,cerrada,"['311-03-4924', '535-47-0209']",['mnt-05369'],medio,29
775,vandalismo,2024-01-30T00:00:00.000000Z,cerrada,"['768-62-6556', '252-23-2994', '082-30-1254']",['mnt-04113'],bajo,233
776,desgaste,2024-01-04T00:00:00.000000Z,cerrada,"['452-34-1466', '397-20-2580']",['mnt-06249'],muy alto,2
777,vandalismo,2024-06-10T00:00:00.000000Z,abierta,"['813-16-4973', '646-44-1947']",['mnt-14358'],bajo,777-ESTADO-abierta
778,rotura,2024-04-24T00:00:00.000000Z,cerrada,"['055-67-0211', '221-29-3104']",['mnt-00226'],medio,111
779,desgaste,2024-09-17T00:00:00.000000Z,abierta,['356-69-5085'],['mnt-14090'],muy alto,779-ESTADO-abierta
780,rotura,2024-08-01T00:00:00.000000Z,abierta,"['030-86-9879', '711-72-5608', '086-70-3542']",['mnt-06161'],medio,780-ESTADO-abierta
781,mal funcionamiento,2023-11-12T00:00:00.000000Z,cerrada,"['774-48-4293', '698-19-0338']",['mnt-12798'],alto,251
782,vandalismo,2024-07-29T00:00:00.000000Z,cerrada,['909-37-3319'],['mnt-14707'],bajo,100
783,mal funcionamiento,2023-11-16T00:00:00.000000Z,abierta,"['047-45-8104', '633-22-9172', '038-94-8332']","['mnt-08865', 'mnt-11314']",alto,783-ESTADO-abierta
784,desgaste,2024-09-29T00:00:00.000000Z,abierta,"['476-33-5689', '447-09-9879', '241-95-4472']",['mnt-10736'],muy alto,784-ESTADO-abierta
785,desgaste,2024-06-11T00:00:00.000000Z,abierta,['812-82-0454'],['mnt-08229'],muy alto,785-ESTADO-abierta
786,rotura,2024-04-27T00:00:00.000000Z,cerrada,['223-25-9384'],['mnt-12224'],medio,45
787,vandalismo,2024-09-12T00:00:00.000000Z,abierta,"['613-63-2823', '029-72-0079', '189-40-1829']",['mnt-02696'],bajo,787-ESTADO-abierta
788,vandalismo,2024-04-01T00:00:00.000000Z,cerrada,"['017-75-4441', '866-87-3402']",['mnt-01072'],bajo,117
789,vandalismo,2024-09-11T00:00:00.000000Z,cerrada,"['837-46-0947', '437-15-4601', '205-86-7547']",['mnt-10303'],bajo,4
790,desgaste,2024-02-28T00:00:00.000000Z,abierta,"['260-90-2212', '955-44-9003', '226-14-6457']",['mnt-06724'],muy alto,790-ESTADO-abierta
791,vandalismo,2024-10-09T00:00:00.000000Z,cerrada,"['328-72-8749', '950-96-4035', '403-19-0429']",['mnt-07632'],bajo,246
792,mal funcionamiento,2024-04-17T00:00:00.000000Z,abierta,"['085-21-9210', '668-65-3201']",['mnt-02546'],alto,792-ESTADO-abierta
793,mal funcionamiento,2024-07-23T00:00:00.000000Z,abierta,['824-77-2616'],['mnt-06633'],alto,793-ESTADO-abierta
794,mal funcionamiento,2024-03-21T00:00:00.000000Z,abierta,['818-53-7405'],['mnt-08798'],alto,794-ESTADO-abierta
795,vandalismo,2024-09-01T00:00:00.000000Z,abierta,['831-23-8385'],['mnt-10260'],bajo,795-ESTADO-abierta
796,mal funcionamiento,2024-02-13T00:00:00.000000Z,cerrada,['709-59-6919'],['mnt-03843'],alto,11
797,mal funcionamiento,2024-03-01T00:00:00.000000Z,cerrada,"['323-21-0407', '660-64-7346', '361-82-7611']","['mnt-06162', 'mnt-07100', 'mnt-07772']",alto,184
798,vandalismo,2024-09-29T00:00:00.000000Z,cerrada,"['989-70-4096', '506-60-9615', '522-33-5352']",['mnt-04311'],bajo,126
799,mal funcionamiento,2024-03-03T00:00:00.000000Z,cerrada,['656-58-9615'],['mnt-08226'],alto,99
800,rotura,2024-09-30T00:00:00.000000Z,abierta,"['346-50-3281', '633-04-3995', '515-25-4324']",['mnt-00161'],medio,800-ESTADO-abierta
801,mal funcionamiento,2024-01-11T00:00:00.000000Z,cerrada,['411-75-2634'],"['mnt-01318', 'mnt-08919']",alto,192
802,mal funcionamiento,2023-12-23T00:00:00.000000Z,abierta,"['127-64-8768', '401-40-9413', '578-00-8737']",['mnt-03908'],alto,802-ESTADO-abierta
803,rotura,2024-05-05T00:00:00.000000Z,abierta,['513-34-6320'],['mnt-02927'],medio,803-ESTADO-abierta
804,rotura,2024-08-07T00:00:00.000000Z,abierta,['042-78-2205'],"['mnt-07590', 'mnt-10262']",medio,804-ESTADO-abierta
805,vandalismo,2023-10-16T00:00:00.000000Z,cerrada,"['248-09-2430', '418-48-3936', '720-30-0348']",['mnt-10487'],bajo,92
806,mal funcionamiento,2023-11-16T00:00:00.000000Z,abierta,"['606-67-4971', '987-39-1291']",['mnt-01833'],alto,806-ESTADO-abierta
807,rotura,2024-02-16T00:00:00.000000Z,abierta,['207-62-5096'],['mnt-00088'],medio,807-ESTADO-abierta
808,desgaste,2024-06-16T00:00:00.000000Z,abierta,"['151-70-9277', '588-57-8956']","['mnt-00025', 'mnt-01934']",muy alto,808-ESTADO-abierta
809,rotura,2024-04-07T00:00:00.000000Z,abierta,"['834-48-2908', '357-94-5267', '338-82-6474']","['mnt-07976', 'mnt-14313']",medio,809-ESTADO-abierta
810,rotura,2024-04-18T00:00:00.000000Z,abierta,"['014-97-2359', '678-41-8355', '882-55-4766']","['mnt-02420', 'mnt-03705']",medio,810-ESTADO-abierta
811,vandalismo,2024-03-26T00:00:00.000000Z,abierta,['943-54-1216'],['mnt-06778'],bajo,811-ESTADO-abierta
812,rotura,2024-08-22T00:00:00.000000Z,abierta,['700-87-8969'],['mnt-03090'],medio,812-ESTADO-abierta
813,desgaste,2024-02-27T00:00:00.000000Z,abierta,"['596-35-6699', '561-52-8209']",['mnt-07399'],muy alto,813-ESTADO-abierta
814,desgaste,2024-04-08T00:00:00.000000Z,abierta,['715-38-0514'],"['mnt-09920', 'mnt-11777']",muy alto,814-ESTADO-abierta
815,vandalismo,2024-05-26T00:00:00.000000Z,abierta,"['987-66-9677', '798-86-3360', '365-57-6170']",['mnt-12400'],bajo,815-ESTADO-abierta
816,rotura,2023-11-30T00:00:00.000000Z,cerrada,"['005-70-6411', '036-98-1983']",['mnt-00923'],medio,14
817,vandalismo,2024-10-01T00:00:00.000000Z,cerrada,"['023-89-4137', '721-12-5735']",['mnt-09189'],bajo,169
818,mal funcionamiento,2023-11-23T00:00:00.000000Z,abierta,"['391-61-4147', '841-11-0914']",['mnt-13919'],alto,818-ESTADO-abierta
819,mal funcionamiento,2024-08-07T00:00:00.000000Z,abierta,"['656-50-8758', '711-66-6371']",['mnt-12084'],alto,819-ESTADO-abierta
820,desgaste,2024-04-12T00:00:00.000000Z,cerrada,['942-09-2175'],['mnt-03990'],muy alto,15
821,desgaste,2024-12-07T00:00:00.000000Z,cerrada,['147-64-6003'],['mnt-00083'],muy alto,319
822,rotura,2024-04-02T00:00:00.000000Z,abierta,"['026-08-9103', '184-14-2490']",['mnt-03672'],medio,822-ESTADO-abierta
823,mal funcionamiento,2024-07-21T00:00:00.000000Z,cerrada,['746-32-6323'],"['mnt-06750', 'mnt-09438', 'mnt-13368']",alto,189
824,mal funcionamiento,2023-10-16T00:00:00.000000Z,cerrada,['706-95-8481'],['mnt-02743'],alto,44
825,rotura,2024-03-05T00:00:00.000000Z,cerrada,"['741-72-3135', '668-38-3014', '575-71-8030']",['mnt-06647'],medio,133
826,vandalismo,2024-07-06T00:00:00.000000Z,cerrada,['312-67-2397'],['mnt-14433'],bajo,39
827,vandalismo,2024-02-14T00:00:00.000000Z,cerrada,['441-37-1532'],['mnt-12977'],bajo,92
828,rotura,2024-09-07T00:00:00.000000Z,abierta,"['345-07-4006', '991-70-6595', '160-64-1271']",['mnt-06121'],medio,828-ESTADO-abierta
829,mal funcionamiento,2024-04-30T00:00:00.000000Z,cerrada,"['518-51-0691', '755-65-5535', '188-63-4892']",['mnt-10080'],alto,121
830,rotura,2024-05-17T00:00:00.000000Z,cerrada,"['903-32-6545', '348-98-6239', '926-77-4437']",['mnt-00035'],medio,113
831,rotura,2024-02-27T00:00:00.000000Z,abierta,['362-23-8236'],['mnt-07142'],medio,831-ESTADO-abierta
832,mal funcionamiento,2024-04-26T00:00:00.000000Z,abierta,"['242-51-2854', '499-85-5936']",['mnt-14028'],alto,832-ESTADO-abierta
833,vandalismo,2023-10-30T00:00:00.000000Z,cerrada,['809-87-3735'],['mnt-01314'],bajo,230
834,mal funcionamiento,2023-10-15T00:00:00.000000Z,abierta,"['119-34-3611', '752-76-1452']",['mnt-11183'],alto,834-ESTADO-abierta
835,rotura,2024-08-16T00:00:00.000000Z,cerrada,"['582-30-1662', '285-22-4714', '972-36-3191']",['mnt-09952'],medio,273
836,mal funcionamiento,2023-11-27T00:00:00.000000Z,cerrada,"['934-99-9862', '895-72-4433']","['mnt-12393', 'mnt-12714']",alto,281
837,desgaste,2024-03-02T00:00:00.000000Z,cerrada,['453-24-2112'],['mnt-04136'],muy alto,65
838,mal funcionamiento,2024-09-05T00:00:00.000000Z,abierta,['964-51-4502'],"['mnt-05910', 'mnt-10310']",alto,838-ESTADO-abierta
839,rotura,2024-06-25T00:00:00.000000Z,cerrada,"['619-85-8908', '434-26-4013', '800-24-5115']",['mnt-07901'],medio,25
840,desgaste,2024-01-03T00:00:00.000000Z,cerrada,"['043-68-5561', '680-48-9245', '244-21-8212']","['mnt-01022', 'mnt-04572', 'mnt-13591']",muy alto,238
841,vandalismo,2024-03-21T00:00:00.000000Z,cerrada,"['102-75-4823', '507-30-2737', '993-97-2327']",['mnt-09502'],bajo,171
842,vandalismo,2023-10-29T00:00:00.000000Z,abierta,"['242-30-0333', '765-79-1906', '919-29-1021']",['mnt-02771'],bajo,842-ESTADO-abierta
843,mal funcionamiento,2024-03-20T00:00:00.000000Z,abierta,"['071-97-3494', '105-10-4121']","['mnt-03326', 'mnt-09426']",alto,843-ESTADO-abierta
844,desgaste,2023-10-25T00:00:00.000000Z,abierta,['905-57-1750'],['mnt-09844'],muy alto,844-ESTADO-abierta
845,vandalismo,2023-10-23T00:00:00.000000Z,cerrada,['037-59-5068'],['mnt-10574'],bajo,86
846,rotura,2024-01-06T00:00:00.000000Z,cerrada,['537-05-6238'],['mnt-07511'],medio,174
847,desgaste,2023-12-22T00:00:00.000000Z,abierta,"['900-22-5578', '977-75-7712', '203-65-1953']",['mnt-12977'],muy alto,847-ESTADO-abierta
848,rotura,2024-08-22T00:00:00.000000Z,abierta,"['574-89-1580', '462-89-8439']",['mnt-00286'],medio,848-ESTADO-abierta
849,vandalismo,2024-01-15T00:00:00.000000Z,abierta,['627-43-2195'],['mnt-10909'],bajo,849-ESTADO-abierta
850,vandalismo,2024-09-13T00:00:00.000000Z,abierta,"['355-83-1351', '217-44-3400']","['mnt-03510', 'mnt-10599']",bajo,850-ESTADO-abierta
851,vandalismo,2023-12-31T00:00:00.000000Z,cerrada,['465-44-7641'],"['mnt-01389', 'mnt-03953']",bajo,237
852,vandalismo,2024-01-26T00:00:00.000000Z,cerrada,"['858-98-9183', '695-72-7018']",['mnt-11708'],bajo,1
853,desgaste,2024-02-27T00:00:00.000000Z,cerrada,['357-26-7297'],['mnt-14770'],muy alto,104
854,rotura,2024-05-15T00:00:00.000000Z,cerrada,"['327-28-3242', '145-73-5478']",['mnt-03746'],medio,113
855,vandalismo,2024-06-08T00:00:00.000000Z,cerrada,['518-70-8140'],['mnt-02722'],bajo,104
856,vandalismo,2024-05-28T00:00:00.000000Z,cerrada,['215-02-7557'],['mnt-06102'],bajo,63
857,desgaste,2024-02-03T00:00:00.000000Z,cerrada,['837-11-1148'],['mnt-06748'],muy alto,77
858,desgaste,2023-10-26T00:00:00.000000Z,cerrada,"['069-75-5561', '423-48-8485', '285-03-3397']","['mnt-00412', 'mnt-07106']",muy alto,345
859,rotura,2024-03-31T00:00:00.000000Z,abierta,['427-24-2346'],['mnt-08217'],medio,859-ESTADO-abierta
860,desgaste,2024-02-18T00:00:00.000000Z,abierta,"['168-29-2030', '234-01-4438']","['mnt-04172', 'mnt-14052']",muy alto,860-ESTADO-abierta
861,vandalismo,2024-07-02T00:00:00.000000Z,cerrada,"['841-11-0914', '756-81-8732', '058-12-1946']",['mnt-04378'],bajo,98
862,vandalismo,2024-06-14T00:00:00.000000Z,abierta,['177-06-1337'],"['mnt-01022', 'mnt-04572', 'mnt-13591']",bajo,862-ESTADO-abierta
863,mal funcionamiento,2024-05-30T00:00:00.000000Z,abierta,['265-01-3337'],"['mnt-07510', 'mnt-10999']",alto,863-ESTADO-abierta
864,mal funcionamiento,2023-11-13T00:00:00.000000Z,abierta,"['552-62-1108', '862-05-8786']","['mnt-02930', 'mnt-05915']",alto,864-ESTADO-abierta
865,mal funcionamiento,2024-01-28T00:00:00.000000Z,cerrada,['389-57-5194'],['mnt-13578'],alto,37
866,desgaste,2024-10-08T00:00:00.000000Z,abierta,"['221-92-1012', '972-13-3716']","['mnt-02792', 'mnt-13344']",muy alto,866-ESTADO-abierta
867,desgaste,2024-07-30T00:00:00.000000Z,abierta,['483-73-5220'],['mnt-00709'],muy alto,867-ESTADO-abierta
868,rotura,2023-10-17T00:00:00.000000Z,abierta,['082-86-5848'],['mnt-10100'],medio,868-ESTADO-abierta
869,vandalismo,2023-12-10T00:00:00.000000Z,cerrada,['918-97-6649'],['mnt-01601'],bajo,251
870,desgaste,2024-07-29T00:00:00.000000Z,abierta,"['894-40-2039', '708-55-8001']","['mnt-03827', 'mnt-12290']",muy alto,870-ESTADO-abierta
871,desgaste,2024-08-11T00:00:00.000000Z,abierta,['426-62-4346'],"['mnt-11506', 'mnt-12060']",muy alto,871-ESTADO-abierta
872,mal funcionamiento,2023-11-08T00:00:00.000000Z,cerrada,"['949-72-7135', '906-96-8341']",['mnt-14737'],alto,87
873,rotura,2024-05-12T00:00:00.000000Z,cerrada,['562-19-2187'],['mnt-08721'],medio,154
874,vandalismo,2023-11-03T00:00:00.000000Z,abierta,['242-51-2854'],['mnt-06102'],bajo,874-ESTADO-abierta
875,mal funcionamiento,2023-12-30T00:00:00.000000Z,cerrada,['058-72-2373'],['mnt-00600'],alto,279
876,vandalismo,2024-06-23T00:00:00.000000Z,cerrada,['956-91-2666'],['mnt-00987'],bajo,7
877,rotura,2024-05-09T00:00:00.000000Z,cerrada,"['826-89-7550', '741-05-0640']","['mnt-00319', 'mnt-05790']",medio,157
878,vandalismo,2024-01-06T00:00:00.000000Z,abierta,"['702-27-4701', '713-67-6851']",['mnt-00878'],bajo,878-ESTADO-abierta
879,rotura,2024-03-01T00:00:00.000000Z,abierta,"['396-36-4277', '750-56-8963']",['mnt-08652'],medio,879-ESTADO-abierta
880,vandalismo,2024-04-19T00:00:00.000000Z,cerrada,"['661-68-7935', '855-88-2235', '704-95-5698']","['mnt-10020', 'mnt-10360']",bajo,81
881,rotura,2023-10-31T00:00:00.000000Z,abierta,"['385-90-0504', '004-93-9574']",['mnt-04229'],medio,881-ESTADO-abierta
882,rotura,2024-04-09T00:00:00.000000Z,cerrada,"['678-52-0518', '610-33-4889', '514-78-1028']",['mnt-02231'],medio,103
883,mal funcionamiento,2024-09-05T00:00:00.000000Z,abierta,"['548-69-0824', '712-85-7874', '920-12-0005']",['mnt-08299'],alto,883-ESTADO-abierta
884,vandalismo,2023-10-19T00:00:00.000000Z,abierta,"['658-96-3082', '180-15-2578', '559-66-4407']",['mnt-01005'],bajo,884-ESTADO-abierta
885,rotura,2024-01-06T00:00:00.000000Z,abierta,"['928-84-6286', '808-76-9291', '091-13-7625']",['mnt-14879'],medio,885-ESTADO-abierta
886,rotura,2023-12-20T00:00:00.000000Z,cerrada,"['187-19-9289', '470-28-3769']","['mnt-07350', 'mnt-14484']",medio,188
887,mal funcionamiento,2024-09-29T00:00:00.000000Z,cerrada,"['211-75-4945', '564-34-2561', '303-04-6566']","['mnt-05360', 'mnt-08523']",alto,45
888,mal funcionamiento,2024-07-05T00:00:00.000000Z,cerrada,"['968-75-0705', '950-72-1059']",['mnt-03232'],alto,119
889,desgaste,2024-03-13T00:00:00.000000Z,abierta,"['368-57-9999', '865-28-2753']",['mnt-11898'],muy alto,889-ESTADO-abierta
890,vandalismo,2024-02-03T00:00:00.000000Z,abierta,"['656-58-9615', '794-97-5353', '814-34-2311']",['mnt-04611'],bajo,890-ESTADO-abierta
891,vandalismo,2024-05-24T00:00:00.000000Z,cerrada,['315-28-7015'],"['mnt-05246', 'mnt-09196', 'mnt-12499']",bajo,5
892,vandalismo,2024-07-21T00:00:00.000000Z,abierta,"['088-07-1487', '582-71-4978', '603-56-9749']",['mnt-09671'],bajo,892-ESTADO-abierta
893,mal funcionamiento,2024-07-23T00:00:00.000000Z,cerrada,['785-16-2902'],['mnt-07142'],alto,144
894,rotura,2024-05-19T00:00:00.000000Z,abierta,"['656-39-5828', '178-25-6704']","['mnt-01260', 'mnt-11257']",medio,894-ESTADO-abierta
895,vandalismo,2023-12-27T00:00:00.000000Z,cerrada,['548-46-9753'],['mnt-02134'],bajo,50
896,rotura,2024-01-19T00:00:00.000000Z,abierta,"['505-24-5642', '703-81-0702']",['mnt-09998'],medio,896-ESTADO-abierta
897,mal funcionamiento,2024-08-05T00:00:00.000000Z,cerrada,"['788-09-2809', '853-51-9690']","['mnt-00539', 'mnt-05137']",alto,162
898,desgaste,2024-01-12T00:00:00.000000Z,abierta,['074-63-6019'],['mnt-05548'],muy alto,898-ESTADO-abierta
899,rotura,2024-05-30T00:00:00.000000Z,cerrada,"['839-37-2687', '433-99-2815', '561-84-5125']",['mnt-03110'],medio,123
